bsb10502028_196.txt	bsb10502028	1802_4
bsb10502034_115.txt	bsb10502034	1804_2
bsb10502030_256.txt	bsb10502030	1803_2
bsb10502023_315.txt	bsb10502023	1801_3
bsb10502051_139.txt	bsb10502051	1813_1
bsb10502052_344.txt	bsb10502052	1813_2
bsb10502069_322.txt	bsb10502069	1817_4
bsb10502069_397.txt	bsb10502069	1817_4
bsb10502020_193.txt	bsb10502020	1800_4
bsb10502069_553.txt	bsb10502069	1817_4
bsb10502092_336.txt	bsb10502092	1825_7-12
bsb10502028_546.txt	bsb10502028	1802_4
bsb10502094_11.txt	bsb10502094	1826_1-6
bsb10502088_464.txt	bsb10502088	1823_3-4
bsb10502094_145.txt	bsb10502094	1826_1-6
bsb10502050_66.txt	bsb10502050	1812_3
bsb10502066_384.txt	bsb10502066	1817_1
bsb10502034_370.txt	bsb10502034	1804_2
bsb10502063_315.txt	bsb10502063	1816_2
bsb10502052_411.txt	bsb10502052	1813_2
bsb10502020_213.txt	bsb10502020	1800_4
bsb10502057_117.txt	bsb10502057	1814_4
bsb10502054_164.txt	bsb10502054	1814_1
bsb10502067_418.txt	bsb10502067	1817_2
bsb10502028_244.txt	bsb10502028	1802_4
bsb10502058_388.txt	bsb10502058	1815_1
bsb10502023_486.txt	bsb10502023	1801_3
bsb10502096_120.txt	bsb10502096	1826_Erg
bsb10502096_80.txt	bsb10502096	1826_Erg
bsb10502037_570.txt	bsb10502037	1805_1
bsb10502033_278.txt	bsb10502033	1804_1
bsb10502083_610.txt	bsb10502083	1821_3-4
bsb10502073_57.txt	bsb10502073	1818_4
bsb10502032_193.txt	bsb10502032	1803_4
bsb10502071_52.txt	bsb10502071	1818_2
bsb10502073_55.txt	bsb10502073	1818_4
bsb10502062_374.txt	bsb10502062	1816_1
bsb10502078_372.txt	bsb10502078	1820_1
bsb10502079_428.txt	bsb10502079	1820_2
bsb10502038_604.txt	bsb10502038	1805_2
bsb10502022_605.txt	bsb10502022	1801_2
bsb10502045_133.txt	bsb10502045	1811_1
bsb10502091_188.txt	bsb10502091	1825_1-6
bsb10502043_512.txt	bsb10502043	1806_3
bsb10502064_58.txt	bsb10502064	1816_3
bsb10502055_153.txt	bsb10502055	1814_2
bsb10502018_598.txt	bsb10502018	1800_2
bsb10502084_273.txt	bsb10502084	1821_5
bsb10502065_306.txt	bsb10502065	1816_4
bsb10502095_119.txt	bsb10502095	1826_7-12
