allgemeineliter48unkngoog	1834	1	328		25.08.2008 17:46		University of Michigan	0,804		318577
bub_gb_wokFAAAAQAAJ	1834	2	325		22.08.2016 09:38		Oxford University	0,783	ABBYY FineReader 11.0	312628
bub_gb_fSM4AAAAMAAJ	1834	3	350		12.02.2015 12:28		University of Michigan	0,904	ABBYY FineReader 9.0	333661
bub_gb_cCQ4AAAAMAAJ	1834	4	524	Ergänzungsblätter	07.02.2015 06:27		University of Michigan	0,750	ABBYY FineReader 9.0	543821
bub_gb_Hig4AAAAMAAJ	1834	5	394	Intelligenzblätter	29.01.2015 10:21		University of Michigan	0,904	ABBYY FineReader 9.0	319005
bub_gb_fCg4AAAAMAAJ	1835	1	368		12.02.2015 02:06		University of Michigan	0,907	ABBYY FineReader 9.0	358745
allgemeineliter32unkngoog	1835	2	314		21.09.2008 10:36		University of Michigan	0,773		304861
allgemeineliter82unkngoog	1835	3	318		21.09.2008 03:10		University of Michigan	0,819		312881
allgemeineliter245unkngoog	1835	4	486	Ergänzungsblätter	12.01.2008 06:41		University of Michigan	0,736		500502
allgemeineliter34unkngoog	1835	5	322	Intelligenzblätter	21.09.2008 02:42		University of Michigan	0,807		258897
bub_gb__ClRAAAAYAAJ	1836	1	1008	plus_2_3	04.02.2015 20:24		Princeton University	0,759	ABBYY FineReader 9.0	1062389
allgemeineliter170unkngoog	1836	4	486	Ergänzungsblätter	27.08.2008 16:39		University of Michigan	0,780		480321
bub_gb_Qiw4AAAAMAAJ	1836	5	290	Intelligenzblätter	01.12.2014 21:26		unknown library	0,737	ABBYY FineReader 9.0	246136
allgemeineliter115unkngoog	1837	1	326		30.08.2008 21:58		University of Michigan	0,801		321124
allgemeineliter196unkngoog	1837	2	326		21.09.2008 00:46		University of Michigan	0,781		319559
allgemeineliter33unkngoog	1837	3	326		30.08.2008 19:26		University of Michigan	0,844		315772
allgemeineliter163unkngoog	1837	4	486	Ergänzungsblätter	21.09.2008 07:44		University of Michigan	0,814		483619
allgemeineliter10unkngoog	1837	5	428	Intelligenzblätter	30.08.2008 16:47		University of Michigan	0,816		359423
bub_gb_PRU4AAAAMAAJ	1838	1	329		25.11.2014 13:32		unknown library	0,766	ABBYY FineReader 9.0	328979
allgemeineliter96unkngoog	1838	2	326		18.07.2008 00:21		University of Michigan	0,766		319312
allgemeineliter55unkngoog	1838	3	330		17.07.2008 21:08		University of Michigan	0,838		312972
allgemeineliter83unkngoog	1838	4	458	Ergänzungsblätter	17.07.2008 21:08		University of Michigan	0,822		453304
allgemeineliter226unkngoog	1838	5	366	Intelligenzblätter	18.07.2008 00:49		University of Michigan	0,808		296407
allgemeineliter355unkngoog	1839	1	977	plus_2_3	22.04.2009 03:40		Oxford University	0,878	ABBYY FineReader 8.0	806788
bub_gb_Chg4AAAAMAAJ	1839	4	458	Ergänzungsblätter	26.01.2015 16:05		University of Michigan	0,916	ABBYY FineReader 9.0	392365
bub_gb_Yxg4AAAAMAAJ	1839	5	322	Intelligenzblätter	04.01.2015 20:31		University of Michigan	0,905	ABBYY FineReader 9.0	246420
allgemeineliter30unkngoog	1840	1	310		20.07.2008 22:00		University of Michigan	0,912		260101
bub_gb_rzA4AAAAMAAJ	1840	3	340		17.01.2016 09:52		University of Michigan	0,923	ABBYY FineReader 11.0	291553
allgemeineliter13jahrgoog	1840	4	729	Ergänzungsblätter_plus_5_Intelligenzblätter	18.07.2008 22:52		Oxford University	0,871		611493
bub_gb_-hk4AAAAMAAJ	1841	1	620	plus_2	30.12.2014 03:17		University of Michigan	0,915	ABBYY FineReader 9.0	524144
allgemeineliter136unkngoog	1841	3	576	plus_5_Intelligenzblatt	28.01.2008 03:55		University of Michigan	0,851		493879
bub_gb_mxs4AAAAMAAJ	1841	4	444	Ergänzungsblätter	03.03.2015 13:36		University of Michigan	0,752	ABBYY FineReader 9.0	394925
allgemeineliter46unkngoog	1842	1	618	plus_2	11.02.2008 18:02		University of Michigan	0,894		526639
allgemeineliter23unkngoog	1842	3	618	plus_5_Intelligenzblatt	12.02.2008 02:14		University of Michigan	0,889		547307
allgemeineliter42unkngoog	1842	4	430		11.02.2008 14:58		University of Michigan	0,899		362642
bub_gb_7R44AAAAMAAJ	1843	3	678	plus_5_Intelligenzblatt	12.01.2015 07:53		University of Michigan	0,876	ABBYY FineReader 9.0	649736
bub_gb_qsaEAAAAIAAJ	1843	4	794	Ergänzungsblätter_plus_5_Intelligenzblätter	06.01.2016 23:15		University of California	0,931	ABBYY FineReader 11.0	270432
bub_gb_Fy9RAAAAYAAJ	1844	2	1022	plus_3_Intelligenzblätter	28.01.2015 22:05		Princeton University	0,754	ABBYY FineReader 9.0	1029905
allgemeinelitera1845unse	1845	1	598		08.07.2015 14:51	1845:1 JA-JE	University of Illinois Urbana-Champaign	0,943	ABBYY FineReader 9.0	488560
bub_gb_s4crAAAAYAAJ	1845	2	802	plus_Intelligenzblatt	18.01.2016 15:45		Harvard University	0,921	ABBYY FineReader 11.0	430165
allgemeineliter201unkngoog	1846	1	565		03.08.2008 11:50		New York Public Library	0,880		468775
allgemeineliter77unkngoog	1846	2	586		03.08.2008 03:41		New York Public Library	0,902		478926
allgemeineliter00jahrgoog	1846	3	317	Intelligenzblätter	03.08.2008 03:29		Oxford University	0,821		326713
allgemeinelitera1847unse	1847	2	906	plus_Intelligenzblatt	14.05.2015 14:35	1847:2 JY-D	University of Illinois Urbana-Champaign	0,904	ABBYY FineReader 9.0	819493
allgemeineliter253unkngoog	1848	1	595		05.08.2008 21:37		Oxford University	0,911		490646
bub_gb_gR5RAAAAYAAJ	1849	1	1311	plus_2_Intelligenzblätter	20.02.2015 00:04		Princeton University	0,752	ABBYY FineReader 9.0	1200717
