Year	Vol	Source	OCR	Ref	ID	Pages	Tokens
1814	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502055	bsb10502055	426	394152
1814	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502056	bsb10502056	488	461497
1814	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502057	bsb10502057	589	578051
1815	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502058	bsb10502058	430	404865
1815	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502059	bsb10502059	438	410608
1815	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502060	bsb10502060	492	460361
1815	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502061	bsb10502061	586	575475
1816	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502062	bsb10502062	444	415321
1816	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502063	bsb10502063	446	424234
1816	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502064	bsb10502064	468	437590
1816	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502065	bsb10502065	620	617829
1817	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502066	bsb10502066	458	422387
1817	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502067	bsb10502067	458	432030
1817	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502068	bsb10502068	458	424982
1817	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502069	bsb10502069	584	568832
1818	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502070	bsb10502070	460	420621
1818	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502071	bsb10502071	474	442911
1818	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502072	bsb10502072	466	426711
1818	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502073	bsb10502073	586	579011
1819	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502074	bsb10502074	470	437054
1819	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502075	bsb10502075	446	420961
1819	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502076	bsb10502076	470	431191
1819	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502077	bsb10502077	574	555985
1820	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502078	bsb10502078	476	449464
1820	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502079	bsb10502079	488	459630
1820	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502080	bsb10502080	468	436376
1820	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502081	bsb10502081	584	565381
