Year	Volume	Source	XML URL	Pages	Tokens
1797	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502010.xml	616	616743
1797	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502011.xml	638	662543
1797	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502012.xml	644	635767
1798	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502013.xml	690	697357
1798	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502014.xml	592	576319
1798	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502015.xml	582	566379
1798	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502016.xml	668	644387
1799	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10628810.xml	664	1456767
1799	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10628811.xml	614	1345442
1799	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10628812.xml	594	1333401
1799	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10628813.xml	970	2126689
1800	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502017.xml	596	561991
1800	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502018.xml	630	615345
1800	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502019.xml	704	691971
1800	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502020.xml	672	652863
1801	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502021.xml	798	753562
1801	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502022.xml	670	632790
1801	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502023.xml	682	639149
1801	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502024.xml	656	546874
1802	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502025.xml	664	607468
1802	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502026.xml	620	536166
1802	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502027.xml	720	690567
1802	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502028.xml	700	659641
