allgemeineliter00schugoog	1829	1	Oxford University	Tesseract 4.0
allgemeineliter115unkngoog	1837	1	University of Michigan	Tesseract 4.0
allgemeineliter152unkngoog	1808	1	New York Public Library	Tesseract 4.0
allgemeineliter161unkngoog	1831	1	University of Michigan	Tesseract 4.0
allgemeineliter183unkngoog	1828	1	University of Michigan	Tesseract 4.0
allgemeineliter201unkngoog	1846	1	New York Public Library	Tesseract 4.0
allgemeineliter253unkngoog	1848	1	Oxford University	Tesseract 4.0
allgemeineliter30unkngoog	1840	1	University of Michigan	Tesseract 4.0
allgemeineliter01goog	1833	2	Oxford University	Tesseract 4.0
allgemeineliter13unkngoog	1832	2	University of Michigan	Tesseract 4.0
allgemeineliter15jahrgoog	1830	2	Oxford University	Tesseract 4.0
allgemeineliter196unkngoog	1837	2	University of Michigan	Tesseract 4.0
allgemeineliter297unkngoog	1807	2	New York Public Library	Tesseract 4.0
allgemeineliter32unkngoog	1835	2	University of Michigan	Tesseract 4.0
allgemeineliter00jahrgoog	1846	3	Oxford University	Tesseract 4.0
allgemeineliter181unkngoog	1833	3	University of Michigan	Tesseract 4.0
allgemeineliter186unkngoog	1809	3	New York Public Library	Tesseract 4.0
allgemeineliter262unkngoog	1830	3	Oxford University	Tesseract 4.0
allgemeineliter33unkngoog	1837	3	University of Michigan	Tesseract 4.0
allgemeineliter136unkngoog	1841	3_5	University of Michigan	Tesseract 4.0
allgemeineliter23unkngoog	1842	3_5	University of Michigan	Tesseract 4.0
allgemeineliter05jahrgoog	1828	4	Oxford University	Tesseract 4.0
allgemeineliter163unkngoog	1837	4	University of Michigan	Tesseract 4.0
allgemeineliter170unkngoog	1836	4	University of Michigan	Tesseract 4.0
allgemeineliter208unkngoog	1832	4	University of Michigan	Tesseract 4.0
allgemeineliter216unkngoog	1830	4	University of Michigan	Tesseract 4.0
allgemeineliter245unkngoog	1835	4	University of Michigan	Tesseract 4.0
allgemeineliter24unkngoog	1831	4	University of Michigan	Tesseract 4.0
allgemeineliter298unkngoog	1829	4	University of Michigan	Tesseract 4.0
allgemeineliter13jahrgoog	1840	4_5	Oxford University	Tesseract 4.0
allgemeineliter10unkngoog	1837	5	University of Michigan	Tesseract 4.0
allgemeineliter162unkngoog	1832	5	University of Michigan	Tesseract 4.0
allgemeineliter211unkngoog	1833	5	University of Michigan	Tesseract 4.0
allgemeineliter226unkngoog	1838	5	University of Michigan	Tesseract 4.0
allgemeineliter276unkngoog	1830	5	University of Michigan	Tesseract 4.0
allgemeineliter34unkngoog	1835	5	University of Michigan	Tesseract 4.0
allgemeineliter43unkngoog	1833	1	University of Michigan	Tesseract 4.0
allgemeineliter48unkngoog	1834	1	University of Michigan	Tesseract 4.0
allgemeinelitera1845unse	1845	1	University of Illinois Urbana-Champaign	Tesseract 4.0
bub_gb_aDI4AAAAMAAJ	1830	1	University of Michigan	Tesseract 4.0
bub_gb_fCg4AAAAMAAJ	1835	1	University of Michigan	Tesseract 4.0
bub_gb_M-XjAAAAMAAJ	1824	1	Indiana University	Tesseract 4.0
bub_gb_NtXjAAAAMAAJ	1827	1	Indiana University	Tesseract 4.0
bub_gb_PRU4AAAAMAAJ	1838	1	unknown library	Tesseract 4.0
