bub_gb_whY4AAAAMAAJ	1829	3	University of Michigan	Tesseract 4.0
bub_gb_zDQ4AAAAMAAJ	1828	3	University of Michigan	Tesseract 4.0
bub_gb_lyFRAAAAYAAJ	1810	3_4	Princeton University	Tesseract 4.0
bub_gb_MSlRAAAAYAAJ	1807	3_4	Princeton University	Tesseract 4.0
bub_gb_7R44AAAAMAAJ	1843	3_5	University of Michigan	Tesseract 4.0
allgemeineliter42unkngoog	1842	4	University of Michigan	Tesseract 4.0
allgemeineliter66unkngoog	1833	4	University of Michigan	Tesseract 4.0
allgemeineliter83unkngoog	1838	4	University of Michigan	Tesseract 4.0
bub_gb_3tTjAAAAMAAJ	1827	4	unknown library	Tesseract 4.0
bub_gb_cCQ4AAAAMAAJ	1834	4	University of Michigan	Tesseract 4.0
bub_gb_Chg4AAAAMAAJ	1839	4	University of Michigan	Tesseract 4.0
bub_gb_mxs4AAAAMAAJ	1841	4	University of Michigan	Tesseract 4.0
bub_gb_ohI4AAAAMAAJ	1824	4	University of Michigan	Tesseract 4.0
bub_gb_Pww4AAAAMAAJ	1808	4	unknown library	Tesseract 4.0
bub_gb_qsaEAAAAIAAJ	1843	4	University of California	Tesseract 4.0
bub_gb_XdzjAAAAMAAJ	1809	4	Indiana University	Tesseract 4.0
bub_gb_BB04AAAAMAAJ	1831	5	University of Michigan	Tesseract 4.0
bub_gb_BdCEAAAAIAAJ	1829	5	unknown library	Tesseract 4.0
bub_gb_Hig4AAAAMAAJ	1834	5	University of Michigan	Tesseract 4.0
bub_gb_Qiw4AAAAMAAJ	1836	5	unknown library	Tesseract 4.0
bub_gb_Yxg4AAAAMAAJ	1839	5	University of Michigan	Tesseract 4.0
bub_gb_ehw4AAAAMAAJ	1822	3	University of Michigan	Tesseract 4.0
bub_gb_f9bjAAAAMAAJ	1813	3	Indiana University	Tesseract 4.0
allgemeineliter198unkngoog	1811	4	New York Public Library	Tesseract 4.0
allgemeineliter215unkngoog	1812	4	University of Michigan	Tesseract 4.0
bub_gb_cN7jAAAAMAAJ	1822	4	Indiana University	Tesseract 4.0
bub_gb_cogFAAAAQAAJ	1813	4	Oxford University	Tesseract 4.0
