bsb10502017	1800	1	Bavarian State Library	Google (internal)
bsb10502021	1801	1	Bavarian State Library	Google (internal)
bsb10502025	1802	1	Bavarian State Library	Google (internal)
bsb10502029	1803	1	Bavarian State Library	Google (internal)
bsb10502033	1804	1	Bavarian State Library	Google (internal)
bsb10502037	1805	1	Bavarian State Library	Google (internal)
bsb10502041	1806	1	Bavarian State Library	Google (internal)
bsb10502045	1811	1	Bavarian State Library	Google (internal)
bsb10502048	1812	1	Bavarian State Library	Google (internal)
bsb10502051	1813	1	Bavarian State Library	Google (internal)
bsb10502054	1814	1	Bavarian State Library	Google (internal)
bsb10502058	1815	1	Bavarian State Library	Google (internal)
bsb10502062	1816	1	Bavarian State Library	Google (internal)
bsb10502066	1817	1	Bavarian State Library	Google (internal)
bsb10502070	1818	1	Bavarian State Library	Google (internal)
bsb10502074	1819	1	Bavarian State Library	Google (internal)
bsb10502078	1820	1	Bavarian State Library	Google (internal)
bsb10502082	1821	1_2	Bavarian State Library	Google (internal)
bsb10502085	1822	1_2	Bavarian State Library	Google (internal)
bsb10502087	1823	1_2	Bavarian State Library	Google (internal)
bsb10502091	1825	1_2	Bavarian State Library	Google (internal)
bsb10502094	1826	1_2	Bavarian State Library	Google (internal)
bsb10502018	1800	2	Bavarian State Library	Google (internal)
bsb10502022	1801	2	Bavarian State Library	Google (internal)
bsb10502026	1802	2	Bavarian State Library	Google (internal)
bsb10502030	1803	2	Bavarian State Library	Google (internal)
bsb10502034	1804	2	Bavarian State Library	Google (internal)
bsb10502038	1805	2	Bavarian State Library	Google (internal)
bsb10502042	1806	2	Bavarian State Library	Google (internal)
bsb10502046	1811	2	Bavarian State Library	Google (internal)
bsb10502049	1812	2	Bavarian State Library	Google (internal)
bsb10502052	1813	2	Bavarian State Library	Google (internal)
bsb10502055	1814	2	Bavarian State Library	Google (internal)
bsb10502059	1815	2	Bavarian State Library	Google (internal)
bsb10502063	1816	2	Bavarian State Library	Google (internal)
bsb10502067	1817	2	Bavarian State Library	Google (internal)
bsb10502071	1818	2	Bavarian State Library	Google (internal)
bsb10502075	1819	2	Bavarian State Library	Google (internal)
bsb10502079	1820	2	Bavarian State Library	Google (internal)
bsb10502019	1800	3	Bavarian State Library	Google (internal)
bsb10502023	1801	3	Bavarian State Library	Google (internal)
bsb10502027	1802	3	Bavarian State Library	Google (internal)
bsb10502031	1803	3	Bavarian State Library	Google (internal)
bsb10502035	1804	3	Bavarian State Library	Google (internal)
bsb10502039	1805	3	Bavarian State Library	Google (internal)
bsb10502043	1806	3	Bavarian State Library	Google (internal)
bsb10502047	1811	3	Bavarian State Library	Google (internal)
bsb10502050	1812	3	Bavarian State Library	Google (internal)
bsb10502056	1814	3	Bavarian State Library	Google (internal)
bsb10502060	1815	3	Bavarian State Library	Google (internal)
bsb10502064	1816	3	Bavarian State Library	Google (internal)
bsb10502068	1817	3	Bavarian State Library	Google (internal)
bsb10502072	1818	3	Bavarian State Library	Google (internal)
bsb10502076	1819	3	Bavarian State Library	Google (internal)
bsb10502080	1820	3	Bavarian State Library	Google (internal)
bsb10502083	1821	3_4	Bavarian State Library	Google (internal)
bsb10502088	1823	3_4	Bavarian State Library	Google (internal)
