bsb10628808	00012	51	Geſtalt des Objectes auffaſſenden, Einbildungskraft be-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/12/view
bsb10628808	00012	71	ſchäftigung der Einbildungskraft zum Verſtande beſteht.	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/12/view
bsb10628808	00012	93	ſchen den Vermögen der Einbildungskraft und des Ver-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/12/view
bsb10628808	00012	96	beſchäftigten Einbildungskraft mit dem Verſtande durch	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/12/view
bsb10628808	00012	107	gung der Einbildungskraft, webey dieſelbe frey, aber	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/12/view
bsb10628808	00013	27	ken der Einbildungskraft in der Zuſammenfaſſung zu ei-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/13/view
bsb10628808	00013	29	der Einbildungskraft unangemeſſen, aber eben dadurch,	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/13/view
bsb10628808	00013	50	nen Bilde durch die Einbildungskraft dargeſtellt werden.	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/13/view
bsb10628808	00013	52	ne Einbildungskraft ein Maximum der Darſtellung für	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/13/view
bsb10628808	00013	59	durch die daritellende Einbildungskraft nicht erreicht	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/13/view
bsb10628808	00013	65	der Unangemeſſenheit unſerer Einbildungskraft zur Grö-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/13/view
bsb10628808	00013	69	lichkeit [durch die Einbildungskraft gebunden iſt) ver-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/13/view
bsb10628808	00013	74	ſelbe Ganze, welches darzuſtellen die Einbildungskraft	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/13/view
bsb10628808	00013	85	ſich vergeblich anſtrengenden Einbildungskraft erfolgt,	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/13/view
bsb10628808	00013	88	ſeiner alle Schranken der Einbildungskraft überſchreiten-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/13/view
bsb10628808	00014	56	de Einbildungskraft beurtheilt, wahrend die ſinnlich	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/14/view
bsb10628808	00014	75	mögen der Einbildungskraft und des Verſtandes müſſe als	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/14/view
bsb10628808	00014	92	ne Einbildungskraft, durch welche die Vernunft im theore-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/14/view
